,thread_count,queue_size,iat_scale,machine,tag,workload,t1_size_mb,t2_size_mb,it,status
126,16,128,1,c220g1,cl_hdd_0_26,w97,2000,0,0,1216189
127,16,128,1,c220g1,cl_hdd_0_26,w97,2000,0,1,1161001
128,16,128,1,c220g1,cl_hdd_0_26,w97,2000,0,2,1218817
129,16,128,1,c220g1,cl_hdd_0_26,w97,2000,1000,0,-1
130,16,128,1,c220g1,cl_hdd_0_26,w97,2000,1000,1,-1
131,16,128,1,c220g1,cl_hdd_0_26,w97,2000,1000,2,-1
132,16,128,1,c220g1,cl_hdd_0_26,w97,2000,2000,0,-1
133,16,128,1,c220g1,cl_hdd_0_26,w97,2000,2000,1,-1
134,16,128,1,c220g1,cl_hdd_0_26,w97,2000,2000,2,-1
135,16,128,1,c220g1,cl_hdd_0_26,w97,2000,4000,0,-1
136,16,128,1,c220g1,cl_hdd_0_26,w97,2000,4000,1,-1
137,16,128,1,c220g1,cl_hdd_0_26,w97,2000,4000,2,-1
138,16,128,1,c220g1,cl_hdd_0_26,w97,2000,8000,0,-1
139,16,128,1,c220g1,cl_hdd_0_26,w97,2000,8000,1,-1
140,16,128,1,c220g1,cl_hdd_0_26,w97,2000,8000,2,-1
141,16,128,1,c220g1,cl_hdd_0_26,w97,2000,16000,0,-1
142,16,128,1,c220g1,cl_hdd_0_26,w97,2000,16000,1,-1
143,16,128,1,c220g1,cl_hdd_0_26,w97,2000,16000,2,-1
144,16,128,1,c220g1,cl_hdd_0_26,w97,2000,32000,0,-1
145,16,128,1,c220g1,cl_hdd_0_26,w97,2000,32000,1,-1
146,16,128,1,c220g1,cl_hdd_0_26,w97,2000,32000,2,-1
147,16,128,1,c220g1,cl_hdd_0_26,w97,3000,0,0,1212735
148,16,128,1,c220g1,cl_hdd_0_26,w97,3000,0,1,1169313
149,16,128,1,c220g1,cl_hdd_0_26,w97,3000,0,2,1212599
150,16,128,1,c220g1,cl_hdd_0_26,w97,3000,1000,0,-1
151,16,128,1,c220g1,cl_hdd_0_26,w97,3000,1000,1,-1
152,16,128,1,c220g1,cl_hdd_0_26,w97,3000,1000,2,-1
153,16,128,1,c220g1,cl_hdd_0_26,w97,3000,2000,0,-1
154,16,128,1,c220g1,cl_hdd_0_26,w97,3000,2000,1,-1
155,16,128,1,c220g1,cl_hdd_0_26,w97,3000,2000,2,-1
156,16,128,1,c220g1,cl_hdd_0_26,w97,3000,4000,0,-1
157,16,128,1,c220g1,cl_hdd_0_26,w97,3000,4000,1,-1
158,16,128,1,c220g1,cl_hdd_0_26,w97,3000,4000,2,-1
159,16,128,1,c220g1,cl_hdd_0_26,w97,3000,8000,0,-1
160,16,128,1,c220g1,cl_hdd_0_26,w97,3000,8000,1,-1
161,16,128,1,c220g1,cl_hdd_0_26,w97,3000,8000,2,-1
162,16,128,1,c220g1,cl_hdd_0_26,w97,3000,16000,0,-1
163,16,128,1,c220g1,cl_hdd_0_26,w97,3000,16000,1,-1
164,16,128,1,c220g1,cl_hdd_0_26,w97,3000,16000,2,-1
165,16,128,1,c220g1,cl_hdd_0_26,w97,3000,32000,0,-1
166,16,128,1,c220g1,cl_hdd_0_26,w97,3000,32000,1,-1
167,16,128,1,c220g1,cl_hdd_0_26,w97,3000,32000,2,-1
168,16,128,1,c220g1,cl_hdd_0_26,w97,4000,0,0,1186085
169,16,128,1,c220g1,cl_hdd_0_26,w97,4000,0,1,1209960
170,16,128,1,c220g1,cl_hdd_0_26,w97,4000,0,2,1180925
171,16,128,1,c220g1,cl_hdd_0_26,w97,4000,1000,0,-1
172,16,128,1,c220g1,cl_hdd_0_26,w97,4000,1000,1,-1
173,16,128,1,c220g1,cl_hdd_0_26,w97,4000,1000,2,-1
174,16,128,1,c220g1,cl_hdd_0_26,w97,4000,2000,0,-1
175,16,128,1,c220g1,cl_hdd_0_26,w97,4000,2000,1,-1
176,16,128,1,c220g1,cl_hdd_0_26,w97,4000,2000,2,-1
177,16,128,1,c220g1,cl_hdd_0_26,w97,4000,4000,0,-1
178,16,128,1,c220g1,cl_hdd_0_26,w97,4000,4000,1,-1
179,16,128,1,c220g1,cl_hdd_0_26,w97,4000,4000,2,-1
180,16,128,1,c220g1,cl_hdd_0_26,w97,4000,8000,0,-1
181,16,128,1,c220g1,cl_hdd_0_26,w97,4000,8000,1,-1
182,16,128,1,c220g1,cl_hdd_0_26,w97,4000,8000,2,-1
183,16,128,1,c220g1,cl_hdd_0_26,w97,4000,16000,0,-1
184,16,128,1,c220g1,cl_hdd_0_26,w97,4000,16000,1,-1
185,16,128,1,c220g1,cl_hdd_0_26,w97,4000,16000,2,-1
186,16,128,1,c220g1,cl_hdd_0_26,w97,4000,32000,0,-1
187,16,128,1,c220g1,cl_hdd_0_26,w97,4000,32000,1,-1
188,16,128,1,c220g1,cl_hdd_0_26,w97,4000,32000,2,-1
189,16,128,1,c220g1,cl_hdd_0_26,w97,8000,0,0,1192672
190,16,128,1,c220g1,cl_hdd_0_26,w97,8000,0,1,1192928
191,16,128,1,c220g1,cl_hdd_0_26,w97,8000,0,2,1187851
192,16,128,1,c220g1,cl_hdd_0_26,w97,8000,1000,0,-1
193,16,128,1,c220g1,cl_hdd_0_26,w97,8000,1000,1,-1
194,16,128,1,c220g1,cl_hdd_0_26,w97,8000,1000,2,-1
195,16,128,1,c220g1,cl_hdd_0_26,w97,8000,2000,0,-1
196,16,128,1,c220g1,cl_hdd_0_26,w97,8000,2000,1,-1
197,16,128,1,c220g1,cl_hdd_0_26,w97,8000,2000,2,-1
198,16,128,1,c220g1,cl_hdd_0_26,w97,8000,4000,0,-1
199,16,128,1,c220g1,cl_hdd_0_26,w97,8000,4000,1,-1
200,16,128,1,c220g1,cl_hdd_0_26,w97,8000,4000,2,-1
201,16,128,1,c220g1,cl_hdd_0_26,w97,8000,8000,0,-1
202,16,128,1,c220g1,cl_hdd_0_26,w97,8000,8000,1,-1
203,16,128,1,c220g1,cl_hdd_0_26,w97,8000,8000,2,-1
204,16,128,1,c220g1,cl_hdd_0_26,w97,8000,16000,0,-1
205,16,128,1,c220g1,cl_hdd_0_26,w97,8000,16000,1,-1
206,16,128,1,c220g1,cl_hdd_0_26,w97,8000,16000,2,-1
207,16,128,1,c220g1,cl_hdd_0_26,w97,8000,32000,0,-1
208,16,128,1,c220g1,cl_hdd_0_26,w97,8000,32000,1,-1
209,16,128,1,c220g1,cl_hdd_0_26,w97,8000,32000,2,-1
210,16,128,1,c220g1,cl_hdd_0_26,w97,10000,0,0,1177592
211,16,128,1,c220g1,cl_hdd_0_26,w97,10000,0,1,1175128
212,16,128,1,c220g1,cl_hdd_0_26,w97,10000,0,2,1174934
213,16,128,1,c220g1,cl_hdd_0_26,w97,10000,1000,0,-1
214,16,128,1,c220g1,cl_hdd_0_26,w97,10000,1000,1,-1
215,16,128,1,c220g1,cl_hdd_0_26,w97,10000,1000,2,-1
216,16,128,1,c220g1,cl_hdd_0_26,w97,10000,2000,0,-1
217,16,128,1,c220g1,cl_hdd_0_26,w97,10000,2000,1,-1
218,16,128,1,c220g1,cl_hdd_0_26,w97,10000,2000,2,-1
219,16,128,1,c220g1,cl_hdd_0_26,w97,10000,4000,0,-1
220,16,128,1,c220g1,cl_hdd_0_26,w97,10000,4000,1,-1
221,16,128,1,c220g1,cl_hdd_0_26,w97,10000,4000,2,-1
222,16,128,1,c220g1,cl_hdd_0_26,w97,10000,8000,0,-1
223,16,128,1,c220g1,cl_hdd_0_26,w97,10000,8000,1,-1
224,16,128,1,c220g1,cl_hdd_0_26,w97,10000,8000,2,-1
225,16,128,1,c220g1,cl_hdd_0_26,w97,10000,16000,0,-1
226,16,128,1,c220g1,cl_hdd_0_26,w97,10000,16000,1,-1
227,16,128,1,c220g1,cl_hdd_0_26,w97,10000,16000,2,-1
228,16,128,1,c220g1,cl_hdd_0_26,w97,10000,32000,0,-1
229,16,128,1,c220g1,cl_hdd_0_26,w97,10000,32000,1,-1
230,16,128,1,c220g1,cl_hdd_0_26,w97,10000,32000,2,-1
231,16,128,1,c220g1,cl_hdd_0_26,w97,12000,0,0,1142660
232,16,128,1,c220g1,cl_hdd_0_26,w97,12000,0,1,1121100
233,16,128,1,c220g1,cl_hdd_0_26,w97,12000,0,2,1142721
234,16,128,1,c220g1,cl_hdd_0_26,w97,12000,4000,0,-1
235,16,128,1,c220g1,cl_hdd_0_26,w97,12000,4000,1,-1
236,16,128,1,c220g1,cl_hdd_0_26,w97,12000,4000,2,-1
237,16,128,1,c220g1,cl_hdd_0_26,w97,12000,8000,0,-1
238,16,128,1,c220g1,cl_hdd_0_26,w97,12000,8000,1,-1
239,16,128,1,c220g1,cl_hdd_0_26,w97,12000,8000,2,-1
240,16,128,1,c220g1,cl_hdd_0_26,w97,12000,16000,0,-1
241,16,128,1,c220g1,cl_hdd_0_26,w97,12000,16000,1,-1
242,16,128,1,c220g1,cl_hdd_0_26,w97,12000,16000,2,-1
243,16,128,1,c220g1,cl_hdd_0_26,w97,14000,0,0,1046212
244,16,128,1,c220g1,cl_hdd_0_26,w97,14000,0,1,1099024
245,16,128,1,c220g1,cl_hdd_0_26,w97,14000,0,2,1051266
246,16,128,1,c220g1,cl_hdd_0_26,w97,14000,4000,0,-1
247,16,128,1,c220g1,cl_hdd_0_26,w97,14000,4000,1,-1
248,16,128,1,c220g1,cl_hdd_0_26,w97,14000,4000,2,-1
249,16,128,1,c220g1,cl_hdd_0_26,w97,14000,8000,0,-1
250,16,128,1,c220g1,cl_hdd_0_26,w97,14000,8000,1,-1
251,16,128,1,c220g1,cl_hdd_0_26,w97,14000,8000,2,-1
252,16,128,1,c220g1,cl_hdd_0_26,w97,14000,16000,0,-1
253,16,128,1,c220g1,cl_hdd_0_26,w97,14000,16000,1,-1
254,16,128,1,c220g1,cl_hdd_0_26,w97,14000,16000,2,-1
255,16,128,1,c220g1,cl_hdd_0_26,w97,16000,0,0,952741
256,16,128,1,c220g1,cl_hdd_0_26,w97,16000,0,1,1022008
257,16,128,1,c220g1,cl_hdd_0_26,w97,16000,0,2,952781
258,16,128,1,c220g1,cl_hdd_0_26,w97,16000,4000,0,-1
259,16,128,1,c220g1,cl_hdd_0_26,w97,16000,4000,1,-1
260,16,128,1,c220g1,cl_hdd_0_26,w97,16000,4000,2,-1
261,16,128,1,c220g1,cl_hdd_0_26,w97,16000,8000,0,-1
262,16,128,1,c220g1,cl_hdd_0_26,w97,16000,8000,1,-1
263,16,128,1,c220g1,cl_hdd_0_26,w97,16000,8000,2,-1
264,16,128,1,c220g1,cl_hdd_0_26,w97,16000,16000,0,-1
265,16,128,1,c220g1,cl_hdd_0_26,w97,16000,16000,1,-1
266,16,128,1,c220g1,cl_hdd_0_26,w97,16000,16000,2,-1
267,16,128,1,c220g1,cl_hdd_0_26,w97,20000,0,0,874484
268,16,128,1,c220g1,cl_hdd_0_26,w97,20000,0,1,876665
269,16,128,1,c220g1,cl_hdd_0_26,w97,20000,0,2,876992
270,16,128,1,c220g1,cl_hdd_0_26,w97,25000,0,0,857870
271,16,128,1,c220g1,cl_hdd_0_26,w97,25000,0,1,857786
272,16,128,1,c220g1,cl_hdd_0_26,w97,25000,0,2,862375
273,16,128,1,c220g1,cl_hdd_0_26,w54,500,0,0,5982187
274,16,128,1,c220g1,cl_hdd_0_26,w54,500,0,1,6049626
275,16,128,1,c220g1,cl_hdd_0_26,w54,500,0,2,6203424
276,16,128,1,c220g1,cl_hdd_0_26,w54,500,5000,0,-1
277,16,128,1,c220g1,cl_hdd_0_26,w54,500,5000,1,-1
278,16,128,1,c220g1,cl_hdd_0_26,w54,500,5000,2,-1
279,16,128,1,c220g1,cl_hdd_0_26,w54,500,10000,0,-1
280,16,128,1,c220g1,cl_hdd_0_26,w54,500,10000,1,-1
281,16,128,1,c220g1,cl_hdd_0_26,w54,500,10000,2,-1
282,16,128,1,c220g1,cl_hdd_0_26,w54,1000,0,0,6053429
283,16,128,1,c220g1,cl_hdd_0_26,w54,1000,0,1,6072749
284,16,128,1,c220g1,cl_hdd_0_26,w54,1000,0,2,6007764
285,16,128,1,c220g1,cl_hdd_0_26,w54,1000,1000,0,-1
286,16,128,1,c220g1,cl_hdd_0_26,w54,1000,1000,1,-1
287,16,128,1,c220g1,cl_hdd_0_26,w54,1000,1000,2,-1
288,16,128,1,c220g1,cl_hdd_0_26,w54,1000,2000,0,-1
289,16,128,1,c220g1,cl_hdd_0_26,w54,1000,2000,1,-1
290,16,128,1,c220g1,cl_hdd_0_26,w54,1000,2000,2,-1
291,16,128,1,c220g1,cl_hdd_0_26,w54,1000,4000,0,-1
292,16,128,1,c220g1,cl_hdd_0_26,w54,1000,4000,1,-1
293,16,128,1,c220g1,cl_hdd_0_26,w54,1000,4000,2,-1
294,16,128,1,c220g1,cl_hdd_0_26,w54,1000,5000,0,-1
295,16,128,1,c220g1,cl_hdd_0_26,w54,1000,5000,1,-1
296,16,128,1,c220g1,cl_hdd_0_26,w54,1000,5000,2,-1
297,16,128,1,c220g1,cl_hdd_0_26,w54,1000,10000,0,-1
298,16,128,1,c220g1,cl_hdd_0_26,w54,1000,10000,1,-1
299,16,128,1,c220g1,cl_hdd_0_26,w54,1000,10000,2,-1
300,16,128,1,c220g1,cl_hdd_0_26,w54,2000,0,0,787
301,16,128,1,c220g1,cl_hdd_0_26,w54,2000,0,1,787
302,16,128,1,c220g1,cl_hdd_0_26,w54,2000,0,2,787
303,16,128,1,c220g1,cl_hdd_0_26,w54,2000,1000,0,-1
304,16,128,1,c220g1,cl_hdd_0_26,w54,2000,1000,1,-1
305,16,128,1,c220g1,cl_hdd_0_26,w54,2000,1000,2,-1
306,16,128,1,c220g1,cl_hdd_0_26,w54,2000,2000,0,-1
307,16,128,1,c220g1,cl_hdd_0_26,w54,2000,2000,1,-1
308,16,128,1,c220g1,cl_hdd_0_26,w54,2000,2000,2,-1
309,16,128,1,c220g1,cl_hdd_0_26,w54,2000,4000,0,-1
310,16,128,1,c220g1,cl_hdd_0_26,w54,2000,4000,1,-1
311,16,128,1,c220g1,cl_hdd_0_26,w54,2000,4000,2,-1
312,16,128,1,c220g1,cl_hdd_0_26,w54,2000,5000,0,-1
313,16,128,1,c220g1,cl_hdd_0_26,w54,2000,5000,1,-1
314,16,128,1,c220g1,cl_hdd_0_26,w54,2000,5000,2,-1
315,16,128,1,c220g1,cl_hdd_0_26,w54,2000,10000,0,-1
316,16,128,1,c220g1,cl_hdd_0_26,w54,2000,10000,1,-1
317,16,128,1,c220g1,cl_hdd_0_26,w54,2000,10000,2,-1
318,16,128,1,c220g1,cl_hdd_0_26,w54,3000,0,0,787
319,16,128,1,c220g1,cl_hdd_0_26,w54,3000,0,1,787
320,16,128,1,c220g1,cl_hdd_0_26,w54,3000,0,2,787
321,16,128,1,c220g1,cl_hdd_0_26,w54,3000,2000,0,-1
322,16,128,1,c220g1,cl_hdd_0_26,w54,3000,2000,1,-1
323,16,128,1,c220g1,cl_hdd_0_26,w54,3000,2000,2,-1
324,16,128,1,c220g1,cl_hdd_0_26,w54,3000,4000,0,-1
325,16,128,1,c220g1,cl_hdd_0_26,w54,3000,4000,1,-1
326,16,128,1,c220g1,cl_hdd_0_26,w54,3000,4000,2,-1
327,16,128,1,c220g1,cl_hdd_0_26,w54,3000,5000,0,-1
328,16,128,1,c220g1,cl_hdd_0_26,w54,3000,5000,1,-1
329,16,128,1,c220g1,cl_hdd_0_26,w54,3000,5000,2,-1
330,16,128,1,c220g1,cl_hdd_0_26,w54,3000,10000,0,-1
331,16,128,1,c220g1,cl_hdd_0_26,w54,3000,10000,1,-1
332,16,128,1,c220g1,cl_hdd_0_26,w54,3000,10000,2,-1
333,16,128,1,c220g1,cl_hdd_0_26,w54,5000,0,0,6048846
334,16,128,1,c220g1,cl_hdd_0_26,w54,5000,0,1,9276329
